CRANKANGLE,Rate of Heat Release Cylinder 1 (J/deg),Rate of Heat Release Cylinder 1 (J/s)
88,-0.405528,-3649.752
89,-0.378007,-3402.063
90,-0.372555,-3352.995
91,-0.370908,-3338.172
92,-0.354308,-3188.772
93,-0.373155,-3358.395
94,-0.402928,-3626.352
95,-0.38238,-3441.42
96,-0.364374,-3279.366
97,-0.362229,-3260.061
98,-0.328044,-2952.396
99,-0.348417,-3135.753
100,-0.396273,-3566.457
101,-0.357586,-3218.274
102,-0.309789,-2788.101
103,-0.347964,-3131.676
104,-0.395075,-3555.675
105,-0.377408,-3396.672
106,-0.36043,-3243.87
107,-0.37784,-3400.56
108,-0.369565,-3326.085
109,-0.345678,-3111.102
110,-0.354339,-3189.051
111,-0.401244,-3611.196
112,-0.435225,-3917.025
113,-0.427488,-3847.392
114,-0.382854,-3445.686
115,-0.297529,-2677.761
116,-0.268544,-2416.896
117,-0.346005,-3114.045
118,-0.385094,-3465.846
119,-0.322215,-2899.935
120,-0.269581,-2426.229
121,-0.294115,-2647.035
122,-0.325614,-2930.526
123,-0.32634,-2937.06
124,-0.333673,-3003.057
125,-0.339962,-3059.658
126,-0.380794,-3427.146
127,-0.466807,-4201.263
128,-0.553909,-4985.181
129,-0.635858,-5722.722
130,-0.782962,-7046.658
131,-0.979064,-8811.576
132,-1.09346,-9841.14
133,-1.21202,-10908.18
134,-1.41925,-12773.25
135,-1.63108,-14679.72
136,-1.80921,-16282.89
137,-1.9928,-17935.2
138,-1.04751,-9427.59
139,0,0
