CRANKANGLE,Rate of Heat Release Cylinder 1 (J/deg),Rate of Heat Release Cylinder 1 (J/s)
-150,0.117048,1053.432
-149,0.113458,1021.122
-148,0.0975487,877.9383
-147,0.108413,975.717
-146,0.0902963,812.6667
-145,0.111192,1000.728
-144,0.161036,1449.324
-143,0.175948,1583.532
-142,0.179171,1612.539
-141,0.172744,1554.696
-140,0.134093,1206.837
-139,0.0808026,727.2234
-138,0.113309,1019.781
-137,0.179083,1611.747
-136,0.216059,1944.531
-135,0.207121,1864.089
-134,0.183093,1647.837
-133,0.15631,1406.79
-132,0.144151,1297.359
-131,0.153334,1380.006
-130,0.177259,1595.331
-129,0.222261,2000.349
-128,0.254411,2289.699
-127,0.243202,2188.818
-126,0.227933,2051.397
-125,0.238255,2144.295
-124,0.21564,1940.76
-123,0.204948,1844.532
-122,0.18767,1689.03
-121,0.146164,1315.476
-120,0.135426,1218.834
-119,0.140932,1268.388
-118,0.128606,1157.454
-117,0.113484,1021.356
-116,0.127117,1144.053
-115,0.157056,1413.504
-114,0.17492,1574.28
-113,0.18626,1676.34
-112,0.251964,2267.676
-111,0.306121,2755.089
-110,0.298194,2683.746
-109,0.311102,2799.918
-108,0.335269,3017.421
-107,0.3616,3254.4
-106,0.421866,3796.794
-105,0.453179,4078.611
-104,0.404967,3644.703
-103,0.342487,3082.383
-102,0.289423,2604.807
-101,0.282028,2538.252
-100,0.323705,2913.345
-99,0.329277,2963.493
-98,0.289563,2606.067
-97,0.269822,2428.398
-96,0.317007,2853.063
-95,0.347198,3124.782
-94,0.30287,2725.83
-93,0.264099,2376.891
-92,0.267037,2403.333
-91,0.272243,2450.187
-90,0.278613,2507.517
-89,0.296901,2672.109
-88,0.306628,2759.652
-87,0.319226,2873.034
-86,0.330181,2971.629
-85,0.329206,2962.854
-84,0.344183,3097.647
-83,0.358187,3223.683
-82,0.354335,3189.015
-81,0.320877,2887.893
-80,0.306976,2762.784
-79,0.330881,2977.929
-78,0.330778,2977.002
-77,0.315146,2836.314
-76,0.288789,2599.101
-75,0.285163,2566.467
-74,0.316541,2848.869
-73,0.355811,3202.299
-72,0.360752,3246.768
-71,0.332489,2992.401
-70,0.312082,2808.738
-69,0.309266,2783.394
-68,0.306157,2755.413
-67,0.296316,2666.844
-66,0.27704,2493.36
-65,0.247831,2230.479
-64,0.245968,2213.712
-63,0.254044,2286.396
-62,0.246605,2219.445
-61,0.249467,2245.203
-60,0.277139,2494.251
-59,0.270241,2432.169
-58,0.240009,2160.081
-57,0.238212,2143.908
-56,0.231635,2084.715
-55,0.210095,1890.855
-54,0.201991,1817.919
-53,0.201776,1815.984
-52,0.200994,1808.946
-51,0.193159,1738.431
-50,0.163432,1470.888
-49,0.115147,1036.323
-48,0.0985836,887.2524
-47,0.10065,905.85
-46,0.0780109,702.0981
-45,0.0606401,545.7609
-44,0.0848349,763.5141
-43,0.102638,923.742
-42,0.0843465,759.1185
-41,0.046622,419.598
-40,-0.0126552,-113.8968
-39,-0.0342246,-308.0214
-38,-0.0299316,-269.3844
-37,-0.0649479,-584.5311
-36,-0.1149,-1034.1
-35,-0.159625,-1436.625
-34,-0.224597,-2021.373
-33,-0.260058,-2340.522
-32,-0.260771,-2346.939
-31,-0.278608,-2507.472
-30,-0.405041,-3645.369
-29,-0.726602,-6539.418
-28,-1.01139,-9102.51
-27,-0.994012,-8946.108
-26,-0.784024,-7056.216
-25,-0.574646,-5171.814
-24,-0.234678,-2112.102
-23,0.53764,4838.76
-22,1.42274,12804.66
-21,1.62242,14601.78
