CRANKANGLE,Rate of Heat Release Cylinder 1 (J/deg),Rate of Heat Release Cylinder 1 (J/s)
-20,0.901754,8115.786
-19,0.35659,3209.31
-18,1.32199,11897.91
-17,4.33929,39053.61
-16,8.3195,74875.5
-15,10.3211,92889.9
-14,9.34998,84149.82
-13,7.10251,63922.59
-12,4.89749,44077.41
-11,3.19654,28768.86
-10,1.96008,17640.72
-9,1.02625,9236.25
-8,0.383166,3448.494
-7,-0.0584799,-526.3191
-6,-0.362764,-3264.876
-5,-0.532619,-4793.571
-4,-0.583424,-5250.816
-3,-0.589373,-5304.357
-2,-0.571904,-5147.136
-1,-0.648706,-5838.354
0,0.241248,2171.232
1,6.65475,59892.75
2,17.6988,159289.2
3,23.9636,215672.4
4,26.9794,242814.6
5,32.6115,293503.5
6,38.7109,348398.1
7,43.8567,394710.3
8,47.925,431325
9,49.6871,447183.9
10,47.0055,423049.5
11,40.3585,363226.5
12,33.167,298503
13,27.7469,249722.1
14,24.251,218259
15,22.0192,198172.8
16,20.3378,183040.2
17,19.0651,171585.9
18,18.1376,163238.4
19,17.2203,154982.7
20,16.2153,145937.7
21,15.1038,135934.2
22,13.9213,125291.7
23,12.8171,115353.9
24,11.784,106056
25,10.7895,97105.5
26,9.92478,89323.02
27,9.23259,83093.31
28,8.55588,77002.92
29,7.83319,70498.71
30,7.19474,64752.66
31,6.61934,59574.06
32,6.0393,54353.7
33,5.47877,49308.93
34,4.97861,44807.49
35,4.6633,41969.7
36,4.35749,39217.41
37,3.96407,35676.63
38,3.67606,33084.54
39,3.47178,31246.02
40,3.21816,28963.44
41,2.89926,26093.34
42,2.60693,23462.37
43,2.41282,21715.38
44,2.25077,20256.93
45,2.06243,18561.87
46,1.90265,17123.85
47,1.78225,16040.25
48,1.65932,14933.88
49,1.56603,14094.27
50,1.50326,13529.34
51,1.42244,12801.96
52,1.30436,11739.24
53,1.24049,11164.41
54,1.19425,10748.25
55,1.06155,9553.95
56,0.950622,8555.598
57,0.874153,7867.377
58,0.759133,6832.197
59,0.665604,5990.436
60,0.63536,5718.24
61,0.666898,6002.082
62,0.677558,6098.022
63,0.638157,5743.413
64,0.59334,5340.06
65,0.539857,4858.713
66,0.522101,4698.909
67,0.470736,4236.624
68,0.399066,3591.594
69,0.392495,3532.455
70,0.374114,3367.026
71,0.310102,2790.918
72,0.244754,2202.786
73,0.237078,2133.702
74,0.301683,2715.147
75,0.347694,3129.246
76,0.324176,2917.584
77,0.254053,2286.477
78,0.218009,1962.081
79,0.218289,1964.601
80,0.211628,1904.652
81,0.227936,2051.424
82,0.246349,2217.141
83,0.246328,2216.952
84,0.235927,2123.343
85,0.221106,1989.954
86,0.1746,1571.4
87,0.0784098,705.6882
88,0.0296846,267.1614
89,0.0781863,703.6767
90,0.107638,968.742
91,0.0813532,732.1788
92,0.0620816,558.7344
93,0.0319352,287.4168
94,-0.00330801,-29.77209
95,0.0124946,112.4514
96,0.0250503,225.4527
97,0.0216355,194.7195
98,0.0521202,469.0818
99,0.0271074,243.9666
100,-0.0266329,-239.6961
101,0.00889078,80.01702
102,0.0538132,484.3188
103,0.010538,94.842
104,-0.0416819,-375.1371
105,-0.0274522,-247.0698
106,-0.0138,-124.2
107,-0.0350299,-315.2691
108,-0.0300109,-270.0981
109,-0.00896463,-80.68167
110,-0.0209284,-188.3556
111,-0.0717648,-645.8832
112,-0.0917129,-825.4161
113,-0.065225,-587.025
114,-0.0222745,-200.4705
115,0.0409757,368.7813
116,0.0498391,448.5519
117,-0.0323377,-291.0393
118,-0.0742815,-668.5335
119,-0.0118982,-107.0838
120,0.0401767,361.5903
121,0.0126089,113.4801
122,-0.0224837,-202.3533
123,-0.0253654,-228.2886
124,-0.0348794,-313.9146
125,-0.0439834,-395.8506
126,-0.0875702,-788.1318
127,-0.176469,-1588.221
128,-0.267234,-2405.106
129,-0.35284,-3175.56
130,-0.504868,-4543.812
131,-0.706971,-6362.739
132,-0.826138,-7435.242
133,-0.949687,-8547.183
134,-1.16365,-10472.85
135,-1.38257,-12443.13
136,-1.56745,-14107.05
137,-1.75812,-15823.08
138,-0.932064,-8388.576
139,0,0
